cnt_code,country,year,va,ps,ge,rq,rl,cc,fh,cc_round,fh_status
GNB,Guinea-Bissau,2016,-0.7,-0.5,-1.64,-1.24,-1.49,-1.56,5.0,-1.6,party
VEN,"Venezuela, RB",2016,-1.13,-1.03,-1.29,-2.0,-2.18,-1.39,5.0,-1.4,party
HTI,Haiti,2016,-0.73,-0.67,-2.06,-1.24,-1.0,-1.35,5.0,-1.4,party
ZWE,Zimbabwe,2016,-1.11,-0.61,-1.16,-1.72,-1.32,-1.28,5.0,-1.3,party
KGZ,Kyrgyz Republic,2016,-0.49,-0.66,-0.9,-0.35,-1.1,-1.08,5.0,-1.1,party
NGA,Nigeria,2016,-0.3,-1.85,-1.09,-0.92,-1.05,-1.04,4.5,-1.0,party
LBN,Lebanon,2016,-0.52,-1.56,-0.53,-0.34,-0.86,-0.97,4.5,-1.0,party
MDA,Moldova,2016,-0.03,-0.28,-0.62,-0.12,-0.54,-0.96,3.0,-1.0,party
GIN,Guinea,2016,-0.73,-0.41,-1.01,-0.87,-1.29,-0.94,5.0,-0.9,party
PNG,Papua New Guinea,2016,0.19,-0.5,-0.73,-0.56,-0.75,-0.92,3.5,-0.9,party
KEN,Kenya,2016,-0.15,-1.33,-0.31,-0.3,-0.53,-0.9,4.0,-0.9,party
MDG,Madagascar,2016,-0.27,-0.4,-1.17,-0.69,-0.74,-0.9,3.5,-0.9,party
NIC,Nicaragua,2016,-0.63,-0.17,-0.7,-0.51,-0.6,-0.89,3.5,-0.9,party
MOZ,Mozambique,2016,-0.39,-1.05,-0.85,-0.7,-1.02,-0.87,4.0,-0.9,party
PAK,Pakistan,2016,-0.69,-2.47,-0.64,-0.64,-0.83,-0.86,4.5,-0.9,party
UKR,Ukraine,2016,0.02,-1.89,-0.58,-0.43,-0.77,-0.84,3.0,-0.8,party
SLE,Sierra Leone,2016,-0.13,-0.16,-1.2,-0.93,-0.79,-0.82,3.0,-0.8,party
BGD,Bangladesh,2016,-0.56,-1.24,-0.69,-0.8,-0.59,-0.8,4.0,-0.8,party
DOM,Dominican Republic,2016,0.19,0.29,-0.25,-0.07,-0.29,-0.78,3.0,-0.8,party
MEX,Mexico,2016,-0.09,-0.77,0.14,0.29,-0.5,-0.77,3.0,-0.8,party
