,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1,3,1,22.0,1,0,7.25,3
1,2,1,1,38.0,1,0,71.2833,3
2,3,3,1,26.0,0,0,7.925,3
3,4,1,1,35.0,1,0,53.1,3
4,5,3,1,35.0,0,0,8.05,3
5,6,3,1,29.0,0,0,8.4583,3
6,7,1,1,54.0,0,0,51.8625,3
7,8,3,1,2.0,3,1,21.075,3
8,9,3,1,27.0,0,2,11.1333,3
9,10,2,1,14.0,1,0,30.0708,3
10,11,3,1,4.0,1,1,16.7,3
11,12,1,1,58.0,0,0,26.55,3
12,13,3,1,20.0,0,0,8.05,3
13,14,3,1,39.0,1,5,31.275,3
14,15,3,1,14.0,0,0,7.8542,3
15,16,2,1,55.0,0,0,16.0,3
16,17,3,1,2.0,4,1,29.125,3
17,18,2,1,29.0,0,0,13.0,3
18,19,3,1,31.0,1,0,18.0,3
19,20,3,1,27.0,0,0,7.225,3
20,21,2,1,35.0,0,0,26.0,3
21,22,2,1,34.0,0,0,13.0,3
22,23,3,1,15.0,0,0,8.0292,3
23,24,1,1,28.0,0,0,35.5,3
24,25,3,1,8.0,3,1,21.075,3
25,26,3,1,38.0,1,5,31.3875,3
26,27,3,1,29.0,0,0,7.225,3
27,28,1,1,19.0,3,2,263.0,3
28,29,3,1,27.0,0,0,7.8792,3
29,30,3,1,29.0,0,0,7.8958,3
30,31,1,1,40.0,0,0,27.7208,3
31,32,1,1,27.0,1,0,146.5208,3
32,33,3,1,27.0,0,0,7.75,3
33,34,2,1,66.0,0,0,10.5,3
34,35,1,1,28.0,1,0,82.1708,3
35,36,1,1,42.0,1,0,52.0,3
36,37,3,1,29.0,0,0,7.2292,3
37,38,3,1,21.0,0,0,8.05,3
38,39,3,1,18.0,2,0,18.0,3
39,40,3,1,14.0,1,0,11.2417,3
40,41,3,1,40.0,1,0,9.475,3
41,42,2,1,27.0,1,0,21.0,3
42,43,3,1,29.0,0,0,7.8958,3
43,44,2,1,3.0,1,2,41.5792,3
44,45,3,1,19.0,0,0,7.8792,3
45,46,3,1,29.0,0,0,8.05,3
46,47,3,1,29.0,1,0,15.5,3
47,48,3,1,27.0,0,0,7.75,3
48,49,3,1,29.0,2,0,21.6792,3
49,50,3,1,18.0,1,0,17.8,3
50,51,3,1,7.0,4,1,39.6875,3
51,52,3,1,21.0,0,0,7.8,3
52,53,1,1,49.0,1,0,76.7292,3
53,54,2,1,29.0,1,0,26.0,3
54,55,1,1,65.0,0,1,61.9792,3
55,56,1,1,29.0,0,0,35.5,3
56,57,2,1,21.0,0,0,10.5,3
57,58,3,1,28.5,0,0,7.2292,3
58,59,2,1,5.0,1,2,27.75,3
59,60,3,1,11.0,5,2,46.9,3
60,61,3,1,22.0,0,0,7.2292,3
61,62,1,1,38.0,0,0,80.0,3
62,63,1,1,45.0,1,0,83.475,3
63,64,3,1,4.0,3,2,27.9,3
64,65,1,1,29.0,0,0,27.7208,3
65,66,3,1,29.0,1,1,15.2458,3
66,67,2,1,29.0,0,0,10.5,3
67,68,3,1,19.0,0,0,8.1583,3
68,69,3,1,17.0,4,2,7.925,3
69,70,3,1,26.0,2,0,8.6625,3
70,71,2,1,32.0,0,0,10.5,3
71,72,3,1,16.0,5,2,46.9,3
72,73,2,1,21.0,0,0,73.5,3
73,74,3,1,26.0,1,0,14.4542,3
74,75,3,1,32.0,0,0,56.4958,3
75,76,3,1,25.0,0,0,7.65,3
76,77,3,1,29.0,0,0,7.8958,3
77,78,3,1,29.0,0,0,8.05,3
78,79,2,1,0.83,0,2,29.0,3
79,80,3,1,30.0,0,0,12.475,3
80,81,3,1,22.0,0,0,9.0,3
81,82,3,1,29.0,0,0,9.5,3
82,83,3,1,27.0,0,0,7.7875,3
83,84,1,1,28.0,0,0,47.1,3
84,85,2,1,17.0,0,0,10.5,3
85,86,3,1,33.0,3,0,15.85,3
86,87,3,1,16.0,1,3,34.375,3
87,88,3,1,29.0,0,0,8.05,3
88,89,1,1,23.0,3,2,263.0,3
89,90,3,1,24.0,0,0,8.05,3
90,91,3,1,29.0,0,0,8.05,3
91,92,3,1,20.0,0,0,7.8542,3
92,93,1,1,46.0,1,0,61.175,3
93,94,3,1,26.0,1,2,20.575,3
94,95,3,1,59.0,0,0,7.25,3
95,96,3,1,29.0,0,0,8.05,3
96,97,1,1,71.0,0,0,34.6542,3
97,98,1,1,23.0,0,1,63.3583,3
98,99,2,1,34.0,0,1,23.0,3
99,100,2,1,34.0,1,0,26.0,3
100,101,3,1,28.0,0,0,7.8958,3
101,102,3,1,29.0,0,0,7.8958,3
102,103,1,1,21.0,0,1,77.2875,3
103,104,3,1,33.0,0,0,8.6542,3
104,105,3,1,37.0,2,0,7.925,3
105,106,3,1,28.0,0,0,7.8958,3
106,107,3,1,21.0,0,0,7.65,3
107,108,3,1,29.0,0,0,7.775,3
108,109,3,1,38.0,0,0,7.8958,3
109,110,3,1,27.0,1,0,24.15,3
110,111,1,1,47.0,0,0,52.0,3
111,112,3,1,14.5,1,0,14.4542,3
112,113,3,1,22.0,0,0,8.05,3
113,114,3,1,20.0,1,0,9.825,3
114,115,3,1,17.0,0,0,14.4583,3
115,116,3,1,21.0,0,0,7.925,3
116,117,3,1,70.5,0,0,7.75,3
117,118,2,1,29.0,1,0,21.0,3
118,119,1,1,24.0,0,1,247.5208,3
119,120,3,1,2.0,4,2,31.275,3
120,121,2,1,21.0,2,0,73.5,3
121,122,3,1,29.0,0,0,8.05,3
122,123,2,1,32.5,1,0,30.0708,3
123,124,2,1,32.5,0,0,13.0,3
124,125,1,1,54.0,0,1,77.2875,3
125,126,3,1,12.0,1,0,11.2417,3
126,127,3,1,29.0,0,0,7.75,3
127,128,3,1,24.0,0,0,7.1417,3
128,129,3,1,27.0,1,1,22.3583,3
129,130,3,1,45.0,0,0,6.975,3
130,131,3,1,33.0,0,0,7.8958,3
131,132,3,1,20.0,0,0,7.05,3
132,133,3,1,47.0,1,0,14.5,3
133,134,2,1,29.0,1,0,26.0,3
134,135,2,1,25.0,0,0,13.0,3
135,136,2,1,23.0,0,0,15.0458,3
136,137,1,1,19.0,0,2,26.2833,3
137,138,1,1,37.0,1,0,53.1,3
138,139,3,1,16.0,0,0,9.2167,3
139,140,1,1,24.0,0,0,79.2,3
140,141,3,1,27.0,0,2,15.2458,3
141,142,3,1,22.0,0,0,7.75,3
142,143,3,1,24.0,1,0,15.85,3
143,144,3,1,19.0,0,0,6.75,3
144,145,2,1,18.0,0,0,11.5,3
145,146,2,1,19.0,1,1,36.75,3
146,147,3,1,27.0,0,0,7.7958,3
147,148,3,1,9.0,2,2,34.375,3
148,149,2,1,36.5,0,2,26.0,3
149,150,2,1,42.0,0,0,13.0,3
150,151,2,1,51.0,0,0,12.525,3
151,152,1,1,22.0,1,0,66.6,3
152,153,3,1,55.5,0,0,8.05,3
153,154,3,1,40.5,0,2,14.5,3
154,155,3,1,29.0,0,0,7.3125,3
155,156,1,1,51.0,0,1,61.3792,3
156,157,3,1,16.0,0,0,7.7333,3
157,158,3,1,30.0,0,0,8.05,3
158,159,3,1,29.0,0,0,8.6625,3
159,160,3,1,29.0,8,2,69.55,3
160,161,3,1,44.0,0,1,16.1,3
161,162,2,1,40.0,0,0,15.75,3
162,163,3,1,26.0,0,0,7.775,3
163,164,3,1,17.0,0,0,8.6625,3
164,165,3,1,1.0,4,1,39.6875,3
165,166,3,1,9.0,0,2,20.525,3
166,167,1,1,27.0,0,1,55.0,3
167,168,3,1,45.0,1,4,27.9,3
168,169,1,1,29.0,0,0,25.925,3
169,170,3,1,28.0,0,0,56.4958,3
170,171,1,1,61.0,0,0,33.5,3
171,172,3,1,4.0,4,1,29.125,3
172,173,3,1,1.0,1,1,11.1333,3
173,174,3,1,21.0,0,0,7.925,3
174,175,1,1,56.0,0,0,30.6958,3
175,176,3,1,18.0,1,1,7.8542,3
176,177,3,1,29.0,3,1,25.4667,3
177,178,1,1,50.0,0,0,28.7125,3
178,179,2,1,30.0,0,0,13.0,3
179,180,3,1,36.0,0,0,0.0,3
180,181,3,1,27.0,8,2,69.55,3
181,182,2,1,29.0,0,0,15.05,3
182,183,3,1,9.0,4,2,31.3875,3
183,184,2,1,1.0,2,1,39.0,3
184,185,3,1,4.0,0,2,22.025,3
185,186,1,1,29.0,0,0,50.0,3
186,187,3,1,27.0,1,0,15.5,3
187,188,1,1,45.0,0,0,26.55,3
188,189,3,1,40.0,1,1,15.5,3
189,190,3,1,36.0,0,0,7.8958,3
190,191,2,1,32.0,0,0,13.0,3
191,192,2,1,19.0,0,0,13.0,3
192,193,3,1,19.0,1,0,7.8542,3
193,194,2,1,3.0,1,1,26.0,3
194,195,1,1,44.0,0,0,27.7208,3
195,196,1,1,58.0,0,0,146.5208,3
196,197,3,1,29.0,0,0,7.75,3
197,198,3,1,42.0,0,1,8.4042,3
198,199,3,1,27.0,0,0,7.75,3
199,200,2,1,24.0,0,0,13.0,3
200,201,3,1,28.0,0,0,9.5,3
201,202,3,1,29.0,8,2,69.55,3
202,203,3,1,34.0,0,0,6.4958,3
203,204,3,1,45.5,0,0,7.225,3
204,205,3,1,18.0,0,0,8.05,3
205,206,3,1,2.0,0,1,10.4625,3
206,207,3,1,32.0,1,0,15.85,3
207,208,3,1,26.0,0,0,18.7875,3
208,209,3,1,16.0,0,0,7.75,3
209,210,1,1,40.0,0,0,31.0,3
210,211,3,1,24.0,0,0,7.05,3
211,212,2,1,35.0,0,0,21.0,3
212,213,3,1,22.0,0,0,7.25,3
213,214,2,1,30.0,0,0,13.0,3
214,215,3,1,29.0,1,0,7.75,3
215,216,1,1,31.0,1,0,113.275,3
216,217,3,1,27.0,0,0,7.925,3
217,218,2,1,42.0,1,0,27.0,3
218,219,1,1,32.0,0,0,76.2917,3
219,220,2,1,30.0,0,0,10.5,3
220,221,3,1,16.0,0,0,8.05,3
221,222,2,1,27.0,0,0,13.0,3
222,223,3,1,51.0,0,0,8.05,3
223,224,3,1,29.0,0,0,7.8958,3
224,225,1,1,38.0,1,0,90.0,3
225,226,3,1,22.0,0,0,9.35,3
226,227,2,1,19.0,0,0,10.5,3
227,228,3,1,20.5,0,0,7.25,3
228,229,2,1,18.0,0,0,13.0,3
229,230,3,1,27.0,3,1,25.4667,3
230,231,1,1,35.0,1,0,83.475,3
231,232,3,1,29.0,0,0,7.775,3
232,233,2,1,59.0,0,0,13.5,3
233,234,3,1,5.0,4,2,31.3875,3
234,235,2,1,24.0,0,0,10.5,3
235,236,3,1,27.0,0,0,7.55,3
236,237,2,1,44.0,1,0,26.0,3
237,238,2,1,8.0,0,2,26.25,3
238,239,2,1,19.0,0,0,10.5,3
239,240,2,1,33.0,0,0,12.275,3
240,241,3,1,27.0,1,0,14.4542,3
241,242,3,1,27.0,1,0,15.5,3
242,243,2,1,29.0,0,0,10.5,3
243,244,3,1,22.0,0,0,7.125,3
244,245,3,1,30.0,0,0,7.225,3
245,246,1,1,44.0,2,0,90.0,3
246,247,3,1,25.0,0,0,7.775,3
247,248,2,1,24.0,0,2,14.5,3
248,249,1,1,37.0,1,1,52.5542,3
249,250,2,1,54.0,1,0,26.0,3
250,251,3,1,29.0,0,0,7.25,3
251,252,3,1,29.0,1,1,10.4625,3
252,253,1,1,62.0,0,0,26.55,3
253,254,3,1,30.0,1,0,16.1,3
254,255,3,1,41.0,0,2,20.2125,3
255,256,3,1,29.0,0,2,15.2458,3
256,257,1,1,27.0,0,0,79.2,3
257,258,1,1,30.0,0,0,86.5,3
258,259,1,1,35.0,0,0,512.3292,3
259,260,2,1,50.0,0,1,26.0,3
260,261,3,1,29.0,0,0,7.75,3
261,262,3,1,3.0,4,2,31.3875,3
262,263,1,1,52.0,1,1,79.65,3
263,264,1,1,40.0,0,0,0.0,3
264,265,3,1,27.0,0,0,7.75,3
265,266,2,1,36.0,0,0,10.5,3
266,267,3,1,16.0,4,1,39.6875,3
267,268,3,1,25.0,1,0,7.775,3
268,269,1,1,58.0,0,1,153.4625,3
269,270,1,1,35.0,0,0,135.6333,3
270,271,1,1,29.0,0,0,31.0,3
271,272,3,1,25.0,0,0,0.0,3
272,273,2,1,41.0,0,1,19.5,3
273,274,1,1,37.0,0,1,29.7,3
274,275,3,1,27.0,0,0,7.75,3
275,276,1,1,63.0,1,0,77.9583,3
276,277,3,1,45.0,0,0,7.75,3
277,278,2,1,29.0,0,0,0.0,3
278,279,3,1,7.0,4,1,29.125,3
279,280,3,1,35.0,1,1,20.25,3
280,281,3,1,65.0,0,0,7.75,3
281,282,3,1,28.0,0,0,7.8542,3
282,283,3,1,16.0,0,0,9.5,3
283,284,3,1,19.0,0,0,8.05,3
284,285,1,1,29.0,0,0,26.0,3
285,286,3,1,33.0,0,0,8.6625,3
286,287,3,1,30.0,0,0,9.5,3
287,288,3,1,22.0,0,0,7.8958,3
